method,partition,n_cases,top1_hit_rate,top3_hit_rate,top5_hit_rate,mrr,top1_ci95_low,top1_ci95_high,top3_ci95_low,top3_ci95_high,top5_ci95_low,top5_ci95_high,mrr_ci95_low,mrr_ci95_high
ochiai,transition_localizable_gt,376,0.196809,0.24734,0.300532,0.264639,0.156915,0.236702,0.204787,0.292553,0.255319,0.348404,0.227145,0.303264
tarantula,transition_localizable_gt,376,0.077128,0.236702,0.300532,0.195357,0.050532,0.106383,0.194149,0.281915,0.255319,0.348404,0.168415,0.224245
dstar,transition_localizable_gt,376,0.050532,0.207447,0.300532,0.168539,0.029255,0.074468,0.167553,0.25,0.255319,0.348404,0.145915,0.193058
op2,transition_localizable_gt,376,0.819149,0.896277,0.952128,0.870925,0.779255,0.856383,0.864362,0.925532,0.928191,0.973404,0.841881,0.898524
jaccard,transition_localizable_gt,376,0.196809,0.24734,0.300532,0.264639,0.156915,0.236702,0.204787,0.292553,0.255319,0.348404,0.227145,0.303264
ochiai,spectrally_participating_gt,73,0.917808,1.0,1.0,0.954338,0.849315,0.972603,1.0,1.0,1.0,1.0,0.915525,0.986301
tarantula,spectrally_participating_gt,73,0.30137,0.945205,1.0,0.597489,0.191781,0.410959,0.890411,0.986301,1.0,1.0,0.535616,0.6621
dstar,spectrally_participating_gt,73,0.164384,0.794521,1.0,0.459361,0.082192,0.246575,0.69863,0.876712,1.0,1.0,0.403881,0.52032
op2,spectrally_participating_gt,73,0.972603,1.0,1.0,0.986301,0.931507,1.0,1.0,1.0,1.0,1.0,0.965753,1.0
jaccard,spectrally_participating_gt,73,0.917808,1.0,1.0,0.954338,0.849315,0.972603,1.0,1.0,1.0,1.0,0.915525,0.986301
