case_id,changed_transition_id,target_ef,target_ep,spectrally_participating,spectrally_absent
case_000002,t45_16,1,0,1,0
case_000003,t46_72,0,0,0,1
case_000004,t47_109,0,0,0,1
case_000008,t51_195,0,0,0,1
case_000009,t52_5,0,0,0,1
case_000010,t53_3,0,0,0,1
case_000021,t64_10,1,0,1,0
case_000022,t65_28,0,0,0,1
case_000023,t66_59,0,0,0,1
case_000027,t70_1,0,0,0,1
case_000028,t71_162,0,0,0,1
case_000029,t72_8,0,0,0,1
case_000040,t83_56,6,0,1,0
case_000041,t84_2,0,0,0,1
case_000042,t85_12,0,0,0,1
case_000046,t89_10,0,0,0,1
case_000047,t90_48,0,0,0,1
case_000048,t91_197,0,0,0,1
case_000059,t102_12,1,0,1,0
case_000060,t103_86,0,0,0,1
case_000061,t104_2,0,0,0,1
case_000065,t108_6,0,0,0,1
case_000066,t109_13,0,0,0,1
case_000067,t110_68,0,0,0,1
case_000074,t117_24,0,0,0,1
case_000078,t121_4,4,0,1,0
case_000079,t122_66,1,0,1,0
case_000080,t123_218,0,0,0,1
case_000084,t127_193,0,0,0,1
case_000085,t128_9,0,0,0,1
case_000086,t129_13,0,0,0,1
case_000097,t140_3,3,0,1,0
case_000098,t141_7,0,0,0,1
case_000099,t142_45,0,0,0,1
case_000103,t146_9,0,0,0,1
case_000104,t147_57,0,0,0,1
case_000105,t148_7,0,0,0,1
case_000116,t159_205,1,0,1,0
case_000117,t160_3,0,0,0,1
case_000118,t161_4,0,0,0,1
case_000122,t165_22,0,0,0,1
case_000123,t166_56,0,0,0,1
case_000124,t167_129,0,0,0,1
case_000135,t178_58,1,0,1,0
case_000136,t179_87,1,0,1,0
case_000137,t180_8,0,0,0,1
case_000141,t184_3,0,0,0,1
case_000142,t185_7,0,0,0,1
case_000143,t186_52,0,0,0,1
case_000150,t193_12,0,0,0,1
case_000154,t197_25,1,0,1,0
case_000155,t198_55,0,0,0,1
case_000156,t199_22,0,0,0,1
case_000160,t203_51,0,0,0,1
case_000161,t204_2,0,0,0,1
case_000162,t205_19,0,0,0,1
case_000169,t212_4,0,0,0,1
case_000173,t216_10,1,0,1,0
case_000174,t217_8,0,0,0,1
case_000175,t218_28,0,0,0,1
case_000179,t222_53,0,0,0,1
case_000180,t223_228,0,0,0,1
case_000181,t224_7,0,0,0,1
case_000188,t231_229,0,0,0,1
case_000192,t235_184,1,0,1,0
case_000193,t236_9,0,0,0,1
case_000194,t237_25,0,0,0,1
case_000198,t241_21,0,0,0,1
case_000199,t242_50,0,0,0,1
case_000200,t243_239,0,0,0,1
case_000207,t250_40,0,0,0,1
case_000211,t254_26,1,0,1,0
case_000212,t255_22,1,0,1,0
case_000213,t256_8,0,0,0,1
case_000217,t260_6,0,0,0,1
case_000218,t261_15,0,0,0,1
case_000219,t262_53,0,0,0,1
case_000230,t273_9,1,0,1,0
case_000231,t274_68,0,0,0,1
case_000232,t275_141,0,0,0,1
case_000236,t279_177,0,0,0,1
case_000237,t280_5,0,0,0,1
case_000238,t281_22,0,0,0,1
case_000249,t292_6,1,0,1,0
case_000250,t293_26,0,0,0,1
case_000251,t294_55,0,0,0,1
case_000255,t298_33,0,0,0,1
case_000256,t299_47,0,0,0,1
case_000257,t300_4,0,0,0,1
case_000268,t311_106,1,0,1,0
case_000269,t312_8,0,0,0,1
case_000270,t313_4,0,0,0,1
case_000274,t317_6,0,0,0,1
case_000275,t318_67,0,0,0,1
case_000276,t319_156,0,0,0,1
case_000283,t326_19,0,0,0,1
case_000287,t330_13,1,0,1,0
case_000288,t331_126,0,0,0,1
case_000289,t332_3,1,0,1,0
case_000293,t336_6,0,0,0,1
case_000294,t337_28,0,0,0,1
case_000295,t338_15,0,0,0,1
case_000306,t349_20,4,0,1,0
case_000307,t350_54,0,0,0,1
case_000308,t351_45,0,0,0,1
case_000312,t355_174,0,0,0,1
case_000313,t356_7,0,0,0,1
case_000314,t357_22,0,0,0,1
case_000321,t364_1,0,0,0,1
case_000325,t368_5,3,0,1,0
case_000326,t369_7,0,0,0,1
case_000327,t370_65,0,0,0,1
case_000331,t374_19,0,0,0,1
case_000332,t375_21,0,0,0,1
case_000333,t376_4,0,0,0,1
case_000344,t387_109,1,0,1,0
case_000345,t388_4,0,0,0,1
case_000346,t389_2,4,0,1,0
case_000350,t393_26,0,0,0,1
case_000351,t394_64,0,0,0,1
case_000352,t395_20,0,0,0,1
