dimension,value,case_count,cohort_fraction,present_in_universe
machine_type,plain_fsm,1000,1.0,True
determinism,deterministic,1000,1.0,True
completeness,partial,1000,1.0,True
arity_class,high,449,0.449,True
arity_class,medium,413,0.413,True
arity_class,very_high,138,0.138,True
size_class,large,251,0.251,True
size_class,medium,251,0.251,True
size_class,small,246,0.246,True
size_class,very_large,252,0.252,True
guard_complexity,none,20,0.02,True
guard_complexity,simple,980,0.98,True
time_features,none,1000,1.0,True
graph_structure,cyclic,1000,1.0,True
graph_structure,dense,503,0.503,True
graph_structure,hub_and_spoke,6,0.006,True
graph_structure,layered,54,0.054,True
graph_structure,strongly_connected,869,0.869,True
oracle_depth,deep,754,0.754,True
oracle_depth,medium,246,0.246,True
bug_type,action_corruption,59,0.059,True
bug_type,action_full_mutation,59,0.059,True
bug_type,dead_state_intro,59,0.059,True
bug_type,delay_corruption,59,0.059,True
bug_type,duplicate_transition,59,0.059,True
bug_type,guard_flip,59,0.059,True
bug_type,guard_inter_class,53,0.053,True
bug_type,guard_strengthen,59,0.059,True
bug_type,guard_weaken,59,0.059,True
bug_type,missing_transition,60,0.06,True
bug_type,nondeterminism_intro,59,0.059,True
bug_type,timeout_corruption,59,0.059,True
bug_type,unreachable_state_intro,59,0.059,True
bug_type,wrong_event,59,0.059,True
bug_type,wrong_initial_state,59,0.059,True
bug_type,wrong_source,60,0.06,True
bug_type,wrong_target,60,0.06,True
