group_key,group_value,case_count,cohort_fraction,distinct_subgroups,subgroup_coverage_ratio,present_in_cohort
mutation_operator,action_corruption,59,0.059,1,1.0,True
mutation_operator,action_full_mutation,59,0.059,1,1.0,True
mutation_operator,dead_state_intro,59,0.059,1,1.0,True
mutation_operator,delay_corruption,59,0.059,1,1.0,True
mutation_operator,duplicate_transition,59,0.059,1,1.0,True
mutation_operator,guard_flip,59,0.059,1,1.0,True
mutation_operator,guard_inter_class,53,0.053,1,1.0,True
mutation_operator,guard_strengthen,59,0.059,1,1.0,True
mutation_operator,guard_weaken,59,0.059,1,1.0,True
mutation_operator,missing_transition,60,0.06,1,1.0,True
mutation_operator,nondeterminism_intro,59,0.059,1,1.0,True
mutation_operator,timed_selective_mutation,0,0.0,0,0.0,False
mutation_operator,timeout_corruption,59,0.059,1,1.0,True
mutation_operator,unreachable_state_intro,59,0.059,1,1.0,True
mutation_operator,variable_intra_class,0,0.0,0,0.0,False
mutation_operator,wrong_event,59,0.059,1,1.0,True
mutation_operator,wrong_initial_state,59,0.059,1,1.0,True
mutation_operator,wrong_source,60,0.06,1,1.0,True
mutation_operator,wrong_target,60,0.06,1,1.0,True
