case_id,machine_type,determinism,completeness,arity_class,size_class,guard_complexity,time_features,graph_structure,oracle_depth,bug_type,num_states,num_events,num_transitions,avg_out_degree,max_out_degree,num_guards,num_timed_guards,num_timeouts,num_cycles,scc_count,seed
case_000001,plain_fsm,deterministic,partial,medium,small,simple,none,cyclic|strongly_connected,medium,missing_transition,5,3,10,2.0,2,3,0,0,2,1,1043
case_000002,plain_fsm,deterministic,partial,high,medium,simple,none,cyclic|strongly_connected,deep,wrong_target,10,5,31,3.1,4,8,0,0,4,1,2043
case_000003,plain_fsm,deterministic,partial,high,large,simple,none,cyclic|strongly_connected|dense,deep,wrong_source,20,10,80,4.0,4,9,0,0,6,1,3043
case_000004,plain_fsm,deterministic,partial,high,very_large,simple,none,cyclic|strongly_connected|dense,deep,wrong_event,50,15,250,5.0,5,33,0,0,4,1,4043
case_000005,plain_fsm,deterministic,partial,medium,small,simple,none,cyclic,medium,wrong_initial_state,5,3,10,2.0,2,2,0,0,4,2,5043
case_000006,plain_fsm,deterministic,partial,medium,medium,simple,none,cyclic|strongly_connected,deep,duplicate_transition,10,5,30,3.0,3,4,0,0,3,1,6043
case_000007,plain_fsm,deterministic,partial,high,large,simple,none,cyclic|strongly_connected|dense,deep,dead_state_intro,20,10,80,4.0,4,8,0,0,5,1,7043
case_000008,plain_fsm,deterministic,partial,very_high,very_large,simple,none,cyclic|strongly_connected|dense,deep,guard_flip,50,15,255,5.1,9,35,0,0,6,1,8043
case_000009,plain_fsm,deterministic,partial,medium,small,simple,none,cyclic|strongly_connected,medium,guard_weaken,5,3,11,2.2,3,3,0,0,3,1,9043
case_000010,plain_fsm,deterministic,partial,medium,medium,simple,none,cyclic|strongly_connected,deep,guard_strengthen,10,5,30,3.0,3,3,0,0,2,1,10043
case_000011,plain_fsm,deterministic,partial,high,large,simple,none,cyclic|strongly_connected|dense,deep,action_corruption,20,10,84,4.2,6,11,0,0,3,1,11043
case_000012,plain_fsm,deterministic,partial,very_high,very_large,simple,none,cyclic|strongly_connected|dense,deep,timeout_corruption,50,15,252,5.04,7,34,0,0,5,1,12043
case_000013,plain_fsm,deterministic,partial,medium,small,simple,none,cyclic|strongly_connected,medium,delay_corruption,5,3,11,2.2,3,2,0,0,3,1,13043
case_000014,plain_fsm,deterministic,partial,medium,medium,simple,none,cyclic|strongly_connected,deep,nondeterminism_intro,10,5,30,3.0,3,4,0,0,4,1,14043
case_000015,plain_fsm,deterministic,partial,high,large,simple,none,cyclic|dense,deep,unreachable_state_intro,20,10,80,4.0,4,12,0,0,3,2,15043
case_000017,plain_fsm,deterministic,partial,medium,small,simple,none,cyclic|strongly_connected,medium,guard_inter_class,5,3,11,2.2,3,4,0,0,2,1,17043
case_000018,plain_fsm,deterministic,partial,high,medium,simple,none,cyclic|strongly_connected,deep,action_full_mutation,10,5,32,3.2,5,6,0,0,4,1,18043
case_000020,plain_fsm,deterministic,partial,very_high,very_large,simple,none,cyclic|strongly_connected|dense,deep,missing_transition,50,15,251,5.02,6,35,0,0,4,1,20043
case_000021,plain_fsm,deterministic,partial,medium,small,simple,none,cyclic|strongly_connected,medium,wrong_target,5,3,10,2.0,2,1,0,0,2,1,21043
case_000022,plain_fsm,deterministic,partial,medium,medium,simple,none,cyclic|strongly_connected,deep,wrong_source,10,5,30,3.0,3,6,0,0,3,1,22043
case_000023,plain_fsm,deterministic,partial,high,large,simple,none,cyclic|strongly_connected|dense,deep,wrong_event,20,10,81,4.05,5,7,0,0,3,1,23043
case_000024,plain_fsm,deterministic,partial,very_high,very_large,simple,none,cyclic|strongly_connected|dense,deep,wrong_initial_state,50,15,255,5.1,8,40,0,0,2,1,24043
case_000025,plain_fsm,deterministic,partial,medium,small,simple,none,cyclic|strongly_connected|layered,medium,duplicate_transition,5,3,10,2.0,2,1,0,0,2,1,25043
case_000026,plain_fsm,deterministic,partial,medium,medium,simple,none,cyclic|strongly_connected,deep,dead_state_intro,10,5,30,3.0,3,6,0,0,2,1,26043
case_000027,plain_fsm,deterministic,partial,high,large,simple,none,cyclic|strongly_connected|dense,deep,guard_flip,20,10,80,4.0,4,12,0,0,4,1,27043
case_000028,plain_fsm,deterministic,partial,very_high,very_large,simple,none,cyclic|strongly_connected|dense,deep,guard_weaken,50,15,253,5.06,8,38,0,0,4,1,28043
case_000029,plain_fsm,deterministic,partial,medium,small,simple,none,cyclic|strongly_connected,medium,guard_strengthen,5,3,10,2.0,2,2,0,0,2,1,29043
case_000030,plain_fsm,deterministic,partial,high,medium,simple,none,cyclic|strongly_connected,deep,action_corruption,10,5,31,3.1,4,4,0,0,2,1,30043
case_000031,plain_fsm,deterministic,partial,high,large,simple,none,cyclic|strongly_connected|dense,deep,timeout_corruption,20,10,81,4.05,5,8,0,0,3,1,31043
case_000032,plain_fsm,deterministic,partial,high,very_large,simple,none,cyclic|strongly_connected|dense,deep,delay_corruption,50,15,250,5.0,5,35,0,0,5,1,32043
case_000033,plain_fsm,deterministic,partial,medium,small,simple,none,cyclic,medium,nondeterminism_intro,5,3,10,2.0,2,2,0,0,2,2,33043
case_000034,plain_fsm,deterministic,partial,high,medium,simple,none,cyclic,deep,unreachable_state_intro,10,5,32,3.2,5,7,0,0,6,2,34043
case_000036,plain_fsm,deterministic,partial,very_high,very_large,simple,none,cyclic|strongly_connected|dense,deep,guard_inter_class,50,15,253,5.06,8,44,0,0,6,1,36043
case_000037,plain_fsm,deterministic,partial,medium,small,simple,none,cyclic|layered,medium,action_full_mutation,5,3,10,2.0,2,1,0,0,4,2,37043
case_000039,plain_fsm,deterministic,partial,high,large,simple,none,cyclic|strongly_connected|dense,deep,missing_transition,20,10,80,4.0,4,13,0,0,7,1,39043
