dimension,value,present_in_cohort,present_in_plan
machine_type,efsm,False,True
machine_type,mealy,False,True
machine_type,moore,False,True
machine_type,nondeterministic_fsm,False,False
machine_type,probabilistic_fsm,False,False
machine_type,timed_efsm,False,False
machine_type,timed_fsm,False,True
bug_type,timed_selective_mutation,False,False
bug_type,variable_intra_class,False,False
size_class,tiny,False,True
determinism,nondeterministic,False,True
completeness,complete,False,True
oracle_depth,exhaustive_like,False,False
oracle_depth,shallow,False,True
guard_complexity,compound,False,True
guard_complexity,nested,False,False
time_features,output_delay,False,False
time_features,timed_guard,False,False
time_features,timed_guard_and_timeout,False,False
time_features,timeout,False,True
graph_structure,acyclic,False,True
graph_structure,sparse,False,False
arity_class,low,False,True
