metric,bucket,count,fraction
state_count,1,51,0.051
state_count,2,421,0.421
state_count,3,528,0.528
transition_count,1,451,0.451
transition_count,3,119,0.119
transition_count,4,77,0.077
transition_count,5,53,0.053
transition_count,6,93,0.093
transition_count,7,44,0.044
transition_count,8,11,0.011
transition_count,9,2,0.002
transition_count,12,150,0.15
mutation_operator,action_corruption,50,0.05
mutation_operator,action_full_mutation,0,0.0
mutation_operator,dead_state_intro,50,0.05
mutation_operator,delay_corruption,50,0.05
mutation_operator,duplicate_transition,0,0.0
mutation_operator,guard_flip,100,0.1
mutation_operator,guard_inter_class,0,0.0
mutation_operator,guard_strengthen,50,0.05
mutation_operator,guard_weaken,50,0.05
mutation_operator,missing_transition,200,0.2
mutation_operator,nondeterminism_intro,50,0.05
mutation_operator,timed_selective_mutation,0,0.0
mutation_operator,timeout_corruption,50,0.05
mutation_operator,unreachable_state_intro,0,0.0
mutation_operator,variable_intra_class,0,0.0
mutation_operator,wrong_event,100,0.1
mutation_operator,wrong_initial_state,50,0.05
mutation_operator,wrong_source,50,0.05
mutation_operator,wrong_target,150,0.15
difficulty_category,easy,988,0.988
difficulty_category,medium,12,0.012
oracle_state_coverage,1.0000,1000,1.0
oracle_transition_coverage,1.0000,1000,1.0
oracle_event_coverage,1.0000,1000,1.0
reference_bpr,1.00,1000,1.0
faulty_bpr,0.00,391,0.391
faulty_bpr,0.07,4,0.004
faulty_bpr,0.08,3,0.003
faulty_bpr,0.11,2,0.002
faulty_bpr,0.12,1,0.001
faulty_bpr,0.15,1,0.001
faulty_bpr,0.25,10,0.01
faulty_bpr,0.38,6,0.006
faulty_bpr,0.42,1,0.001
faulty_bpr,0.46,3,0.003
faulty_bpr,0.50,38,0.038
faulty_bpr,0.55,14,0.014
faulty_bpr,0.58,8,0.008
faulty_bpr,0.62,7,0.007
faulty_bpr,0.64,2,0.002
faulty_bpr,0.67,2,0.002
faulty_bpr,0.75,19,0.019
faulty_bpr,0.83,26,0.026
faulty_bpr,0.88,13,0.013
faulty_bpr,0.89,9,0.009
faulty_bpr,0.90,35,0.035
faulty_bpr,0.91,8,0.008
faulty_bpr,0.92,48,0.048
faulty_bpr,0.93,11,0.011
faulty_bpr,0.94,1,0.001
faulty_bpr,0.95,73,0.073
faulty_bpr,0.96,14,0.014
faulty_bpr,1.00,250,0.25
machine_type,efsm,200,0.2
machine_type,mealy,200,0.2
machine_type,moore,150,0.15
machine_type,plain_fsm,250,0.25
machine_type,timed_fsm,200,0.2
mutation_detection_rate,action_corruption,0,0.0
mutation_detection_rate,dead_state_intro,0,0.0
mutation_detection_rate,delay_corruption,0,0.0
mutation_detection_rate,guard_flip,100,1.0
mutation_detection_rate,guard_strengthen,50,1.0
mutation_detection_rate,guard_weaken,50,1.0
mutation_detection_rate,missing_transition,200,1.0
mutation_detection_rate,nondeterminism_intro,0,0.0
mutation_detection_rate,timeout_corruption,0,0.0
mutation_detection_rate,wrong_event,100,1.0
mutation_detection_rate,wrong_initial_state,50,1.0
mutation_detection_rate,wrong_source,50,1.0
mutation_detection_rate,wrong_target,150,1.0
